,pred,real
340,-0.056249999999999994,0.6667815804297657
341,0.16875,0.9598956252247012
342,0.39375000000000004,1.0790987295061598
343,0.50625,1.1049701704639632
344,0.39375000000000004,1.261985494131216
345,0.50625,1.1537600456106902
346,0.61875,0.8493254437336228
347,0.61875,0.92076644669991
348,0.39375000000000004,0.7653129861597101
349,0.39375000000000004,0.5246876285868711
350,0.61875,0.3679874882098992
351,0.73125,0.0212910212621936
352,0.73125,-0.1855225739836564
353,-0.16875,-0.2307615025311244
354,0.16875,-0.2672568818939695
355,-0.16875,-0.6135182897705207
356,-0.61875,-0.5885897965727428
357,-0.61875,-0.5283447472283525
358,-0.39375,-0.7634621462917853
359,-0.39375,-0.4506147316276447
360,-0.39375,-0.7521813633871769
361,-0.61875,-0.6685291382073798
362,-0.39375,-0.5268972701334617
363,-0.056249999999999994,-0.1069259502869548
364,0.28125,-0.2008107540836633
365,-0.056249999999999994,-0.2360602379645892
366,-0.05625,-0.3153106763311748
367,0.28125,-0.1250103369063535
368,0.50625,0.2121562871294771
369,0.39375,0.4486636826850045
370,0.16875,0.4619997077925188
371,0.61875,0.8033316086732867
372,0.84375,0.7038744670774897
373,0.61875,0.5412454568485243
374,0.84375,0.2278430316785171
375,1.29375,-0.1150398869863742
376,0.61875,0.0566408667574622
377,0.84375,0.1936300934584369
378,0.84375,0.6959432381275306
379,0.84375,0.6936606265665917
380,0.84375,0.5866159951997909
381,0.84375,0.5500983514630546
382,0.61875,0.253413048900134
383,0.73125,-0.2118514278195333
384,0.50625,-0.2321301957972763
385,0.73125,-0.3737110314632303
386,0.28125,-0.3029537924035766
387,-0.16875,-0.3840928921126384
388,-0.39375,-0.4212546883022408
389,-0.39375000000000004,-0.6453000275238192
390,-0.61875,-0.6094600959026009
391,-0.61875,-0.3193306639221551
392,-0.16875,-0.5209465636678219
393,-0.61875,-0.7400149498203921
394,-0.61875,-0.1385230131203783
395,-0.05625,-0.3230746198074872
396,0.16875,-0.4485514131528699
397,0.16875,0.0511144233491802
398,0.39375000000000004,0.4864804854391158
399,-0.16875,0.561632424331576
400,-0.05625,0.9431060061004676
401,0.05625,1.500974983743897
402,0.39375000000000004,1.2475340346167487
403,0.50625,1.0434206272173363
404,0.61875,1.2177786965969115
405,0.28125,0.9201174124413376
406,0.61875,0.5759593699675054
407,0.28125,0.573665955206063
408,0.39375000000000004,0.0324176865645591
409,0.28125,-0.1740880081958893
410,0.28125,-0.305372177140742
411,-0.16875,-0.5569837647855913
412,-0.16875,-0.782211019717526
413,-0.61875,-0.8780762596985408
414,-0.61875,-0.506933911282409
415,-0.61875,-0.8862049651419088
416,-0.61875,-1.4641863730148446
417,-0.7312500000000001,-1.3515293612208088
418,-0.28125,-1.7324759379250978
419,-0.95625,-2.559664961728175
420,-1.63125,-1.9793368237297164
421,-2.41875,-2.997674834825358
422,-2.64375,-4.011907978267707
423,-2.98125,-4.544323764724461
424,-3.8812500000000005,-3.599916489295686
425,-3.09375,-1.965152354689244
426,-1.63125,0.2338753387555041
427,-0.056249999999999994,3.3965787534914837
428,2.41875,6.830064233103397
429,4.55625,9.577295004593482
430,6.80625,12.939980581148664
431,7.481250000000001,14.366417016426444
432,9.506250000000001,15.967045799944652
433,10.406250000000002,15.697634046483648
434,10.51875,14.721558335380688
435,10.181250000000002,11.585964401010376
436,9.28125,7.97194361130762
437,7.8187500000000005,5.466210333412591
438,6.46875,2.712994773733703
439,3.31875,0.4150850126656227
440,1.29375,-1.8701022448087137
441,-0.7312500000000001,-3.93939081254916
442,-1.7437500000000001,-6.267989215142509
443,-3.7687500000000003,-8.438131154162658
444,-5.79375,-11.373271989587622
445,-7.36875,-12.813194842717763
446,-9.16875,-14.693162703148973
447,-10.18125,-15.431886679061114
448,-11.30625,-17.66111153255353
449,-11.75625,-18.704787029440787
450,-12.65625,-18.460443087396857
451,-13.33125,-18.137495907857787
452,-13.668750000000001,-17.679047371499177
453,-13.556250000000002,-16.275322283380422
454,-12.99375,-15.558612456945214
455,-12.318750000000001,-12.064064874362993
456,-9.95625,-7.863180942040311
457,-7.03125,-3.0872268861713144
458,-3.4312500000000004,3.5043481003352257
459,0.61875,9.504352135354976
460,5.0062500000000005,17.768349573120616
461,9.506250000000001,23.44066118204237
462,14.006250000000001,27.505330113796408
463,17.15625,32.62179238905076
464,20.08125,34.76599403912905
465,22.668750000000003,37.02075377024089
466,24.243750000000002,38.198220653680536
467,25.70625,37.83515318964021
468,25.70625,36.90661673747806
469,25.481250000000003,34.19378613782662
